ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Black Friday,Black Friday_lower,Black Friday_upper,Christmas,Christmas_lower,Christmas_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-04-05,165.83276622365491,174.37105566643473,182.93563687332323,165.67430816914677,165.99276412018165,0.0,0.0,0.0,0.0,0.0,0.0,12.58814258720344,12.58814258720344,12.58814258720344,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094787167,0.37659345094787167,0.37659345094787167,1.044297034365706,1.044297034365706,1.044297034365706,0.0,0.0,0.0,178.42090881085835
2018-04-06,165.9206171236604,173.88021310750358,182.75849044039037,165.7588264926401,166.08434049301425,0.0,0.0,0.0,0.0,0.0,0.0,12.519999065744575,12.519999065744575,12.519999065744575,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.49681772078201514,0.49681772078201514,0.49681772078201514,0.8559292430726951,0.8559292430726951,0.8559292430726951,0.0,0.0,0.0,178.44061618940498
2018-04-09,166.1841698236768,173.3304536844391,182.02626599772518,166.0086937020022,166.3600004494711,0.0,0.0,0.0,0.0,0.0,0.0,11.464393728053482,11.464393728053482,11.464393728053482,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596484997,0.2680636596484997,0.2680636596484997,0.029077966515117414,0.029077966515117414,0.029077966515117414,0.0,0.0,0.0,177.6485635517303
2018-04-10,166.2720207236823,173.8167909413258,182.74572835371578,166.0920932414642,166.45283922433921,0.0,0.0,0.0,0.0,0.0,0.0,11.787383335011752,11.787383335011752,11.787383335011752,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700177597,0.9311288700177597,0.9311288700177597,-0.3109976368958718,-0.3109976368958718,-0.3109976368958718,0.0,0.0,0.0,178.05940405869404
2018-04-11,166.35987162368775,173.1318177843873,182.03613873382366,166.17654128903845,166.54634842549797,0.0,0.0,0.0,0.0,0.0,0.0,11.217355478590992,11.217355478590992,11.217355478590992,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226750391,0.7192093226750391,0.7192093226750391,-0.6691059459739106,-0.6691059459739106,-0.6691059459739106,0.0,0.0,0.0,177.57722710227875
2018-04-12,166.44772252369322,172.72633331515195,181.56394218439124,166.26098933661277,166.63936633831798,0.0,0.0,0.0,0.0,0.0,0.0,10.508347803530281,10.508347803530281,10.508347803530281,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.3765934509480171,0.3765934509480171,0.3765934509480171,-1.0354977493075994,-1.0354977493075994,-1.0354977493075994,0.0,0.0,0.0,176.9560703272235
2018-04-13,166.53557342369868,172.2910083849913,181.14642803728324,166.3454586638266,166.73195736969257,0.0,0.0,0.0,0.0,0.0,0.0,10.264122691900935,10.264122691900935,10.264122691900935,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.49681772078158226,0.49681772078158226,0.49681772078158226,-1.3999471307705114,-1.3999471307705114,-1.3999471307705114,0.0,0.0,0.0,176.7996961155996
2018-04-16,166.7991261237151,171.64611428057614,179.88358709596594,166.58731113261723,167.0083217137228,0.0,0.0,0.0,0.0,0.0,0.0,9.057463753746632,9.057463753746632,9.057463753746632,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596485456,0.2680636596485456,0.2680636596485456,-2.3778520077917773,-2.3778520077917773,-2.3778520077917773,0.0,0.0,0.0,175.85658987746172
2018-04-17,166.8869770237206,172.2627942891879,180.5502703757003,166.6673099178918,167.099585269379,0.0,0.0,0.0,0.0,0.0,0.0,9.466259184996522,9.466259184996522,9.466259184996522,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700186764,0.9311288700186764,0.9311288700186764,-2.632121786912018,-2.632121786912018,-2.632121786912018,0.0,0.0,0.0,176.3532362087171
2018-04-18,166.97482792372602,171.74483167027768,180.32659866002604,166.7487681000273,167.19137617463812,0.0,0.0,0.0,0.0,0.0,0.0,9.05093063138632,9.05093063138632,9.05093063138632,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226749563,0.7192093226749563,0.7192093226749563,-2.835530793178499,-2.835530793178499,-2.835530793178499,0.0,0.0,0.0,176.02575855511233
2018-04-19,167.06267882373152,171.0311669958448,179.8060389184622,166.83287920300899,167.28362878067864,0.0,0.0,0.0,0.0,0.0,0.0,8.56331756103446,8.56331756103446,8.56331756103446,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094837177,0.37659345094837177,0.37659345094837177,-2.980527991803776,-2.980527991803776,-2.980527991803776,0.0,0.0,0.0,175.62599638476598
2018-04-20,167.15052972373698,171.42066093177016,179.8259303113685,166.91767947797476,167.37583502897857,0.0,0.0,0.0,0.0,0.0,0.0,8.60325183606802,8.60325183606802,8.60325183606802,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.49681772078240416,0.49681772078240416,0.49681772078240416,-3.060817986604246,-3.060817986604246,-3.060817986604246,0.0,0.0,0.0,175.753781559805
2018-04-23,167.4140824237534,171.56838682498113,180.32152853416503,167.17624500259532,167.65676525019794,0.0,0.0,0.0,0.0,0.0,0.0,8.562875762856192,8.562875762856192,8.562875762856192,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596501739,0.2680636596501739,0.2680636596501739,-2.8724399986838454,-2.8724399986838454,-2.8724399986838454,0.0,0.0,0.0,175.97695818660958
2018-04-24,167.50193332375886,172.6108178875574,181.37406096437653,167.26287239542359,167.75103175420125,0.0,0.0,0.0,0.0,0.0,0.0,9.437494892819092,9.437494892819092,9.437494892819092,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700172412,0.9311288700172412,0.9311288700172412,-2.6608860790880122,-2.6608860790880122,-2.6608860790880122,0.0,0.0,0.0,176.93942821657797
2018-04-25,167.58978422376435,172.5978238381551,181.50163098180334,167.34897363825442,167.84529825820456,0.0,0.0,0.0,0.0,0.0,0.0,9.510212959599887,9.510212959599887,9.510212959599887,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226747759,0.7192093226747759,0.7192093226747759,-2.3762484649647524,-2.3762484649647524,-2.3762484649647524,0.0,0.0,0.0,177.09999718336425
2018-04-26,167.67763512376982,172.6655999700702,181.51509323410522,167.43238107869482,167.93956476220782,0.0,0.0,0.0,0.0,0.0,0.0,9.522093125868052,9.522093125868052,9.522093125868052,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.3765934509477764,0.3765934509477764,0.3765934509477764,-2.021752426969589,-2.021752426969589,-2.021752426969589,0.0,0.0,0.0,177.19972824963787
2018-04-27,167.76548602377528,173.47438952090192,182.2886037874454,167.51579464008702,168.03383126621114,0.0,0.0,0.0,0.0,0.0,0.0,10.061915930538012,10.061915930538012,10.061915930538012,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207819712,0.4968177207819712,0.4968177207819712,-1.6021538921338228,-1.6021538921338228,-1.6021538921338228,0.0,0.0,0.0,177.8274019543133
2018-04-30,168.0290387237917,175.0713743915381,183.9210457648912,167.76588095894402,168.315293073762,0.0,0.0,0.0,0.0,0.0,0.0,11.414882500980305,11.414882500980305,11.414882500980305,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596502198,0.2680636596502198,0.2680636596502198,-0.020433260559777053,-0.020433260559777053,-0.020433260559777053,0.0,0.0,0.0,179.443921224772
2018-05-01,168.11688962379716,176.44341131900657,185.2808554410911,167.84807657026423,168.40817866182016,0.0,0.0,0.0,0.0,0.0,0.0,12.684791618847038,12.684791618847038,12.684791618847038,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700185305,0.9311288700185305,0.9311288700185305,0.5864106469386443,0.5864106469386443,0.5864106469386443,0.0,0.0,0.0,180.8016812426442
2018-05-02,168.20474052380266,176.6366503111349,185.73553776444803,167.92896190609054,168.5010156158121,0.0,0.0,0.0,0.0,0.0,0.0,13.103494022924497,13.103494022924497,13.103494022924497,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226746934,0.7192093226746934,0.7192093226746934,1.2170325983599404,1.2170325983599404,1.2170325983599404,0.0,0.0,0.0,181.30823454672716
2018-05-03,168.29259142380812,177.269406121047,186.0219272556351,168.01330589475472,168.59383054627816,0.0,0.0,0.0,0.0,0.0,0.0,13.404947704401305,13.404947704401305,13.404947704401305,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.376593450948131,0.376593450948131,0.376593450948131,1.8611021515633115,1.8611021515633115,1.8611021515633115,0.0,0.0,0.0,181.69753912820943
2018-05-04,168.38044232381358,178.13083955736153,187.0093651665147,168.09775413311812,168.68628877346904,0.0,0.0,0.0,0.0,0.0,0.0,14.172221650492677,14.172221650492677,14.172221650492677,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.49681772078104325,0.49681772078104325,0.49681772078104325,2.5081518278217723,2.5081518278217723,2.5081518278217723,0.0,0.0,0.0,182.55266397430626
2018-05-07,168.64399502383003,179.7938907919406,189.07583092481119,168.34914658382215,168.96082134720422,0.0,0.0,0.0,0.0,0.0,0.0,15.800805654518422,15.800805654518422,15.800805654518422,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.26806365964993867,0.26806365964993867,0.26806365964993867,4.36548989297862,4.36548989297862,4.36548989297862,0.0,0.0,0.0,184.44480067834846
2018-05-08,168.73184592383546,181.23266163109142,189.90421476059547,168.4324510090267,169.05332507660407,0.0,0.0,0.0,0.0,0.0,0.0,17.023711283537573,17.023711283537573,17.023711283537573,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700194472,0.9311288700194472,0.9311288700194472,4.925330311628263,4.925330311628263,4.925330311628263,0.0,0.0,0.0,185.75555720737304
2018-05-09,168.81969682384093,181.82895914413407,190.6077820286423,168.5157554342312,169.14809294383747,0.0,0.0,0.0,0.0,0.0,0.0,17.328302533062253,17.328302533062253,17.328302533062253,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226746107,0.7192093226746107,0.7192093226746107,5.441841108497781,5.441841108497781,5.441841108497781,0.0,0.0,0.0,186.14799935690317
2018-05-10,168.90754772384642,182.12696341899195,190.81676074104257,168.59905985943578,169.24260696485317,0.0,0.0,0.0,0.0,0.0,0.0,17.45217993617858,17.45217993617858,17.45217993617858,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094827645,0.37659345094827645,0.37659345094827645,5.908334383340441,5.908334383340441,5.908334383340441,0.0,0.0,0.0,186.359727660025
2018-05-11,168.9953986238519,182.868455075488,191.49674661928154,168.68242196686893,169.33497639211618,0.0,0.0,0.0,0.0,0.0,0.0,17.983382407346394,17.983382407346394,17.983382407346394,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.4968177207846052,0.4968177207846052,0.4968177207846052,6.319312584671927,6.319312584671927,6.319312584671927,0.0,0.0,0.0,186.9787810311983
2018-05-14,169.2589513238683,183.60963998488867,192.00050778539864,168.93650590663117,169.61288404735288,0.0,0.0,0.0,0.0,0.0,0.0,18.61870848922058,18.61870848922058,18.61870848922058,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.2680636596499846,0.2680636596499846,0.2680636596499846,7.183392727680736,7.183392727680736,7.183392727680736,0.0,0.0,0.0,187.87765981308888
2018-05-15,169.34680222387377,184.24027950470017,193.11104906275358,169.0231077354422,169.70750128732317,0.0,0.0,0.0,0.0,0.0,0.0,19.441445125573647,19.441445125573647,19.441445125573647,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700176401,0.9311288700176401,0.9311288700176401,7.343064153666149,7.343064153666149,7.343064153666149,0.0,0.0,0.0,188.7882473494474
2018-05-16,169.43465312387926,184.59965648653267,192.94657857710476,169.1063902238377,169.7993035290352,0.0,0.0,0.0,0.0,0.0,0.0,19.32546773274457,19.32546773274457,19.32546773274457,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226745276,0.7192093226745276,0.7192093226745276,7.439006308180183,7.439006308180183,7.439006308180183,0.0,0.0,0.0,188.76012085662381
2018-05-17,169.52250402388472,184.060748308502,192.75252851169398,169.18802391714877,169.89046234539452,0.0,0.0,0.0,0.0,0.0,0.0,19.017066480863402,19.017066480863402,19.017066480863402,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.37659345094809943,0.37659345094809943,0.37659345094809943,7.473220928025442,7.473220928025442,7.473220928025442,0.0,0.0,0.0,188.53957050474813
2018-05-18,169.61035492389018,184.40572308985676,193.2639990725933,169.2695429864101,169.9817418216735,0.0,0.0,0.0,0.0,0.0,0.0,19.11277552112072,19.11277552112072,19.11277552112072,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.49681772078367725,0.49681772078367725,0.49681772078367725,7.448705698447184,7.448705698447184,7.448705698447184,0.0,0.0,0.0,188.7231304450109
2018-05-21,169.8739076239066,183.65575689710738,193.03933827310084,169.5158771344888,170.26540638723603,0.0,0.0,0.0,0.0,0.0,0.0,18.49983974552237,18.49983974552237,18.49983974552237,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.26806365965161283,0.26806365965161283,0.26806365965161283,7.064523983980897,7.064523983980897,7.064523983980897,0.0,0.0,0.0,188.37374736942897
2018-05-22,169.9617585239121,184.55525138354585,193.28295225386282,169.59916663018808,170.35992565925693,0.0,0.0,0.0,0.0,0.0,0.0,18.94794275859096,18.94794275859096,18.94794275859096,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.9311288700189291,0.9311288700189291,0.9311288700189291,6.849561786682167,6.849561786682167,6.849561786682167,0.0,0.0,0.0,188.90970128250305
2018-05-23,170.04960942391756,184.3589372871068,192.85314916659067,169.68238958457027,170.4544449312779,0.0,0.0,0.0,0.0,0.0,0.0,18.486666336794514,18.486666336794514,18.486666336794514,11.167252101889863,11.167252101889863,11.167252101889863,0.0,0.0,0.0,0.7192093226743476,0.7192093226743476,0.7192093226743476,6.600204912230304,6.600204912230304,6.600204912230304,0.0,0.0,0.0,188.53627576071207
